Unnamed: 0	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	PRICE
0.0	LOW	0.28434034372023437	-1.2889242591886216	NO	0.32934222489240766	0.4682218086266864	-0.11762740272798788	-0.2956177201782449	-0.9826553120716867	-0.6657380045516647	-1.4702900891691948	0.4394480370880978	-1.0100381198313084	0.16600817687387182
1.0	LOW	-0.48636046244348424	-0.5960770099289125	NO	0.020829214122224646	0.39150349353108765	0.36853287342673857	-0.2949290411386168	-0.8680539622056865	-0.9856307575862356	-0.308436248989752	0.4394480370880978	-0.44073434300924813	-0.09602071281254373
2.0	LOW	-0.48636046244348424	-0.5960770099289125	NO	0.020829214122224646	0.7721060437456164	-0.2631206240589644	-0.2949290411386168	-0.8680539622056865	-0.9856307575862356	-0.308436248989752	0.3949210709357509	-1.1400473957882693	1.334220310059142
3.0	LOW	-0.48636046244348424	-1.3078465580129417	NO	-0.02835401947881902	0.6789480897009608	-0.8060587426843159	-0.29406919344018245	-0.7534526123396864	-1.1041095550064473	0.10983113347484673	0.4146135866788037	-1.2892159334652034	1.1922879948123333
4.0	LOW	-0.48636046244348424	-1.3078465580129417	NO	-0.02835401947881902	0.7531755504103388	-0.5079750697135346	-0.29406919344018245	-0.7534526123396864	-1.1041095550064473	0.10983113347484673	0.4394480370880978		1.497988366113152
5.0	LOW	-0.48636046244348424	-1.3078465580129417	NO	-0.02835401947881902	-2.8040484705129036	-0.34828738776490187	-0.29406919344018245	-0.7534526123396864	-1.1041095550064473	0.10983113347484673	0.4090340405516056		0.6791480858431025
6.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	0.18775160473823133	-0.06794679056619134	-0.29446311690863697	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.42522566460700467		0.04591160243426446
7.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	0.26745894509729495	0.9788946799859566	-0.2941568977483873	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.4394480370880978		0.5044621593854922
8.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	-0.002051499491788871	1.1172906710081052	-0.29405356841123637	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.3270912944874583	2.404416022406769	-0.6528321033961773
9.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	0.18376623772027817	0.6169359342357228	-0.2936531279709099	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.32796651740937155	0.6486065376406557	-0.39080321370976173
10.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	0.3695839749323452	0.9150196072065037	-0.29384581048866704	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.3915295821133362	1.107060300225728	-0.816600159450187
11.0	MODERATE	0.048848430725764794	-0.4796320940869447	NO	0.266745382127443	0.1862570921064989	0.510477479603301	-0.29394003176874384	-0.5242499126076863	-0.5768789064865061	-1.5167642427763732	0.4394480370880978	0.12446387772996056	-0.39080321370976173
